\begin{table}
Cell & Protocol & QC1.Rseal & QC1.Cm & QC1.Rseries & QC2.raw & QC2.subtracted & QC3.raw & QC3.E4031 & QC3.subtracted & QC4.Rseal & QC4.Cm & QC4.Rseries & QC5.1.staircase & QC6.subtracted & QC6.1.subtracted & QC6.2.subtracted \\ 
A01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
A04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A05 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
A06 & staircaseramp & False & True & True & False & True & True & True & True & True & True & True & True & False & False & False \\ 
A08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A12 & staircaseramp & True & True & True & False & False & True & False & False & False & True & True & True & False & True & True \\ 
A13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A15 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
A17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
A18 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A19 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
A20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A22 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & False & True \\ 
A23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
A24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
B06 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & False & False \\ 
B07 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
B08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B09 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
B10 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
B11 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
B12 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
B13 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
B14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B15 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
B18 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & True & True & True \\ 
B19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B20 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & True & True & True \\ 
B21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B24 & staircaseramp & False & True & True & True & True & True & True & False & True & True & True & False & False & False & False \\ 
C01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C02 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
C03 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
C05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
C06 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
C07 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C11 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
C12 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
C13 & staircaseramp & False & True & True & True & True & True & True & False & True & True & True & False & False & False & False \\ 
C14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
