\begin{table}
Cell & Protocol & QC1.Rseal & QC1.Cm & QC1.Rseries & QC2.raw & QC2.subtracted & QC3.raw & QC3.E4031 & QC3.subtracted & QC4.Rseal & QC4.Cm & QC4.Rseries & QC5.1.staircase & QC6.subtracted & QC6.1.subtracted & QC6.2.subtracted \\ 
A04 & staircaseramp & True & True & True & True & False & True & True & True & True & False & True & True & False & True & True \\ 
A05 & staircaseramp & True & False & True & True & True & True & True & True & True & False & True & False & False & True & False \\ 
A08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
A09 & staircaseramp & True & True & True & True & True & True & False & False & True & True & True & True & False & True & True \\ 
A10 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
A11 & staircaseramp & False & False & True & True & True & True & True & True & True & False & True & True & True & True & True \\ 
A12 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
A13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
A15 & staircaseramp & True & True & False & False & False & True & True & True & True & False & False & True & True & True & True \\ 
A16 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
A17 & staircaseramp & True & True & True & True & True & True & False & False & True & True & True & True & False & False & False \\ 
A18 & staircaseramp & False & True & True & True & True & True & False & False & False & False & True & True & True & True & True \\ 
A19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A20 & staircaseramp & True & True & True & True & True & True & False & False & True & True & True & True & False & False & False \\ 
A22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & True \\ 
B03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
B06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B07 & staircaseramp & False & False & True & True & False & True & True & True & True & False & True & False & False & True & True \\ 
B08 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & True & False & False \\ 
B10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
B11 & staircaseramp & True & True & True & True & False & True & True & True & False & True & True & False & False & False & True \\ 
B12 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B13 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
B14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B15 & staircaseramp & True & True & True & True & True & True & False & True & False & True & True & True & False & False & False \\ 
B16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
B18 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B19 & staircaseramp & False & True & True & False & False & True & True & True & False & False & True & True & True & True & True \\ 
B20 & staircaseramp & True & True & True & True & False & False & True & True & False & True & True & True & False & True & True \\ 
B22 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & False & True & False \\ 
C01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
C02 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
C05 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C07 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & False & False \\ 
C08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
C10 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & True & True \\ 
C12 & staircaseramp & True & True & True & True & True & True & False & True & False & True & True & True & False & False & False \\ 
C14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
C16 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & False & False \\ 
C17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & False \\ 
C19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C20 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
C21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
C23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & False \\ 
D02 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & False & False & False & False \\ 
D03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D07 & staircaseramp & True & False & True & True & False & True & True & True & True & False & True & False & False & True & True \\ 
D08 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
D10 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
D11 & staircaseramp & True & True & True & True & True & False & True & True & True & True & True & True & True & True & True \\ 
D12 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
D13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D14 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & False & True & True \\ 
D15 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D16 & staircaseramp & False & False & True & True & True & True & True & True & False & False & True & True & True & True & True \\ 
D18 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & True & True \\ 
D19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D23 & staircaseramp & True & True & True & True & True & True & True & True & False & True & False & True & True & True & True \\ 
D24 & staircaseramp & True & False & False & True & True & True & True & True & False & False & True & True & False & False & False \\ 
E01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
E07 & staircaseramp & False & False & True & True & True & True & True & True & True & False & True & False & False & True & True \\ 
E08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E12 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E13 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
E17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
E20 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E21 & staircaseramp & True & True & False & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F03 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & True & True \\ 
F04 & staircaseramp & True & True & True & True & True & False & True & False & True & True & True & True & False & False & False \\ 
F07 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
F08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
F10 & staircaseramp & True & True & True & True & False & False & True & False & False & True & True & False & False & True & True \\ 
F13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
F16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
F18 & staircaseramp & False & True & True & True & True & False & True & False & True & True & True & False & False & False & False \\ 
F20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
