\begin{table}
Cell & Protocol & QC1.Rseal & QC1.Cm & QC1.Rseries & QC2.raw & QC2.subtracted & QC3.raw & QC3.E4031 & QC3.subtracted & QC4.Rseal & QC4.Cm & QC4.Rseries & QC5.1.staircase & QC6.subtracted & QC6.1.subtracted & QC6.2.subtracted \\ 
A01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A02 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & False & True & True \\ 
A03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A04 & staircaseramp & True & True & True & False & True & True & True & True & False & True & True & True & False & False & False \\ 
A05 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
A06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A07 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A09 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
A10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & True \\ 
A11 & staircaseramp & False & True & True & True & True & False & True & False & False & True & True & True & True & True & True \\ 
A12 & staircaseramp & True & True & False & True & True & True & True & True & False & True & True & True & True & True & True \\ 
A13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
A14 & staircaseramp & False & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
A15 & staircaseramp & True & True & False & True & True & True & True & True & True & True & False & True & True & True & True \\ 
A18 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
A19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A20 & staircaseramp & True & True & True & True & False & False & True & True & True & True & True & False & False & True & True \\ 
A21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
A22 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
A23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & True \\ 
A24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B04 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & False & False & False \\ 
B05 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
