\begin{table}
Cell & Protocol & QC1.Rseal & QC1.Cm & QC1.Rseries & QC2.raw & QC2.subtracted & QC3.raw & QC3.E4031 & QC3.subtracted & QC4.Rseal & QC4.Cm & QC4.Rseries & QC5.1.staircase & QC6.subtracted & QC6.1.subtracted & QC6.2.subtracted \\ 
A01 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
A03 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
A04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
A08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A09 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
A10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
A11 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
A12 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
A13 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
A15 & staircaseramp & False & False & True & False & False & True & True & True & False & False & False & True & True & True & True \\ 
A16 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
A18 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
A20 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
A21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B01 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
B02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
B05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
B06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B07 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
B08 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
B09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
B10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B11 & staircaseramp & False & True & True & False & False & True & True & True & False & True & True & True & False & True & True \\ 
B13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B15 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
