\begin{table}
Cell & Protocol & QC1.Rseal & QC1.Cm & QC1.Rseries & QC2.raw & QC2.subtracted & QC3.raw & QC3.E4031 & QC3.subtracted & QC4.Rseal & QC4.Cm & QC4.Rseries & QC5.1.staircase & QC6.subtracted & QC6.1.subtracted & QC6.2.subtracted \\ 
A01 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
A03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A05 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A07 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A11 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A12 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
A13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A15 & staircaseramp & True & True & False & True & True & True & True & True & True & False & False & True & True & True & True \\ 
A16 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
A17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A18 & staircaseramp & True & True & True & True & False & True & True & True & False & True & True & True & False & True & True \\ 
A19 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
A20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
A24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B01 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & True & True \\ 
B02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B03 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
B04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
B06 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
B07 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
B08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B10 & staircaseramp & False & True & True & True & True & True & True & True & True & False & True & False & False & False & False \\ 
B11 & staircaseramp & True & True & True & True & True & False & True & False & False & True & True & True & False & False & False \\ 
B12 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & False & False \\ 
B13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B14 & staircaseramp & True & True & True & True & False & True & True & True & False & True & True & True & True & True & True \\ 
B15 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
B16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B18 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
B21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
B22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & True \\ 
B23 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
B24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C03 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
C04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C05 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
C06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C07 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & False & False \\ 
C08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C09 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & True & True & True \\ 
C10 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
C11 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
C13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C14 & staircaseramp & False & False & True & True & True & True & True & True & True & False & True & False & False & True & True \\ 
C15 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C16 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
C17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
C18 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C21 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
C22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
C24 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
D03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D05 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
D06 & staircaseramp & True & True & True & True & True & False & True & False & False & True & True & True & False & False & False \\ 
D07 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
D08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D10 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
D11 & staircaseramp & True & True & False & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D12 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
D13 & staircaseramp & False & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
D14 & staircaseramp & True & True & False & True & True & True & True & True & True & True & False & True & False & True & False \\ 
D15 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
D16 & staircaseramp & False & False & True & True & False & True & True & True & True & True & True & False & False & False & True \\ 
D17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D18 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & False & False \\ 
D19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
D20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D22 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
D23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
D24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
E01 & staircaseramp & False & False & True & True & True & True & True & True & True & False & True & False & False & False & False \\ 
E02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E03 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
E04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E05 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E07 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & False & True & True \\ 
E08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
E09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E10 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & False & True \\ 
E11 & staircaseramp & True & True & True & True & True & False & True & True & True & True & True & True & False & True & True \\ 
E12 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & True & True & True \\ 
E13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E14 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & False & False \\ 
E15 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
E16 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
E17 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
E19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & True \\ 
E20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & True & True & True \\ 
E22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
E24 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
F01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
F02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F03 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
F04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
F05 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
F06 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & True & True \\ 
F07 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & False & False & False & False \\ 
F08 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F10 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
F11 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F12 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & False & True & True \\ 
F13 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F14 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
F15 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
F16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
F18 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
F22 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
F23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
F24 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & True & True & False \\ 
G01 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & False & False & True \\ 
G02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
G03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & True \\ 
G04 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
G05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
G06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
G07 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
G08 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & False & False & False & False \\ 
G09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
G10 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
G11 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & True & True \\ 
G13 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & False \\ 
G14 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
G16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
G17 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
G18 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & True \\ 
G19 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
G20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
G21 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
G22 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
G23 & staircaseramp & True & True & False & True & True & True & True & True & False & True & True & True & True & True & True \\ 
G24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
H01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
H02 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
H04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
H05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & False & True & True & True & True \\ 
H06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
H07 & staircaseramp & True & True & True & True & False & True & False & True & True & True & True & False & False & False & False \\ 
H08 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
H09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
H10 & staircaseramp & False & False & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
H13 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
H15 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
H16 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
H17 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & True & True & True \\ 
H18 & staircaseramp & False & True & True & True & False & True & True & True & True & True & True & False & False & False & False \\ 
H19 & staircaseramp & False & False & True & True & True & True & True & True & False & False & True & True & True & True & True \\ 
H20 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
H23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
H24 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & False & False & False \\ 
I01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
I02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
I03 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
I04 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
I05 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
I06 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & True & True & True \\ 
I09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & False \\ 
I12 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
I14 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
I15 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
I18 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
I19 & staircaseramp & True & True & True & True & True & False & True & False & True & True & True & True & True & True & True \\ 
I20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
I21 & staircaseramp & False & False & True & True & False & True & True & True & True & False & True & False & False & False & False \\ 
I22 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
I23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
I24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
J02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & True \\ 
J03 & staircaseramp & True & True & True & False & False & True & True & True & False & True & True & True & True & True & True \\ 
J04 & staircaseramp & True & True & True & True & True & True & True & True & False & True & True & True & True & True & True \\ 
J05 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & True & True & True \\ 
J06 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & False & False & False \\ 
J07 & staircaseramp & False & True & True & True & False & True & True & False & True & True & True & False & False & True & True \\ 
J09 & staircaseramp & True & True & True & True & True & False & True & False & True & True & True & False & False & False & False \\ 
J10 & staircaseramp & False & False & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
J11 & staircaseramp & False & False & True & True & True & True & True & False & True & False & True & False & False & False & False \\ 
J14 & staircaseramp & False & True & True & True & False & True & False & True & False & True & True & False & False & True & True \\ 
J17 & staircaseramp & False & False & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
J18 & staircaseramp & False & True & True & True & True & False & True & True & False & True & True & False & False & True & True \\ 
J20 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
J21 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & False & True \\ 
J23 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & False & True & True \\ 
J24 & staircaseramp & False & True & True & True & True & True & True & True & False & True & True & True & False & False & False \\ 
K01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K02 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K03 & staircaseramp & True & True & True & False & False & True & True & True & True & True & True & True & False & False & False \\ 
K04 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K05 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
K06 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & False & True & True \\ 
K08 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & True & True \\ 
K09 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K11 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K12 & staircaseramp & False & False & True & True & True & True & True & True & True & False & True & False & False & False & False \\ 
K14 & staircaseramp & True & False & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
K15 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K17 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
K18 & staircaseramp & False & True & True & True & True & True & True & True & True & True & True & False & False & False & False \\ 
K19 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & False & True & True & True \\ 
K22 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K23 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
K24 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
L01 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
L02 & staircaseramp & True & True & True & True & False & True & True & True & True & True & True & True & True & True & True \\ 
L03 & staircaseramp & True & True & True & True & True & True & True & True & True & True & True & True & True & True & True \\ 
